,Name,Game,Key Signature,Time Signature,Instruments,Length
0,A New Adventure!,g minor,0.6880053071274875,4/4,"[None, None, 'Electric Bass', 'Violoncello', 'Violin', None, 'StringInstrument', None, None, None]",10.940855291666681
1,A Statue Was Raised In Pokestar Studios!,g minor,0.6848418119368361,4/4,"['Piano', None, None, 'Clavichord', None, 'Harpsichord', None, None]",6.7562257291666725
2,A Sweet Soirée,C major,0.8239322371287687,4/4,"[None, None, None, None, None, None, None, None, 'Piano', None]",63.236113854167286
3,Absorption,b minor,0.5946612215689918,4/4,"[None, None, 'Violin', 'Brass', 'Fretless Bass', None, 'Fretless Bass', None, None, None]",28.948451812500057
4,Abyssal Ruins,A major,0.7555845939748431,4/4,"[None, 'Pan Flute', None, None, 'Trumpet', None, None, 'Pan Flute', 'Trumpet', None]",106.65283110416524
5,Accessories Received!,F major,0.6935183346815703,4/4,"[None, None, None, None, None, None, None, None]",2.611108500000001
6,Accumula Town,E major,0.7301176368039093,4/4,"['Timpani', None, 'Reed Organ', 'Timpani', None, 'Piano', 'Piano']",43.113816291666446
7,Anville Town,F major,0.9005700507729121,4/4,"['Piano', 'Church Bells', 'Piano', 'Piano', None, None, None, 'Piano', 'Piano', None]",68.09123210416621
8,Arousal,b minor,0.35049508588539136,4/4,"[None, 'Vibraphone', 'Violin', 'Brass', 'Electric Bass', None, 'Fretless Bass', None, 'Piano', None, None]",14.556632208333367
9,Asperita City,e minor,0.8066013461714127,4/4,"['Piano', None, 'Sitar', 'Violoncello', None, 'Piano', None, None, None, None, 'Piano']",80.91564912500051
10,Assault! Opelucid City,d minor,0.5403704581091063,4/4,"['Violin', None, None, None, 'Church Bells', None, 'Violin', None, None, None, 'Violin']",51.07757343749974
11,Badge Received!,C major,0.7544620039511538,4/4,"[None, 'Violin', 'Violoncello', 'StringInstrument', 'Electric Bass', None, None, None]",4.565603749999998
12,Battle Subway,G major,0.7220872347196032,4/4,"[None, 'StringInstrument', None, 'Horn', 'Horn', None, None, None, None]",12.192806770833329
13,Battle! Champion Alder,B- major,0.5985599495214553,4/4,"['Horn', None, None, 'Trombone', 'StringInstrument', 'Fretless Bass', 'Horn', 'Timpani', None, None, None]",77.23428808333423
14,Battle! Champion Iris,C major,0.7944869699244659,4/4,"[None, None, None, None, None, None, None, None, None]",102.64322916666555
15,Battle! Cheren & Bianca,e minor,0.5901429596222968,4/4,"['Xylophone', 'Piano', 'Piano', 'Horn', 'Piano', 'Piano', 'Piano', 'Piano', 'Piano', None, 'Xylophone']",51.81106572916685
16,Battle! Colress,c# minor,0.6010081694555889,4/4,"[None, 'Bagpipes', None, None, None, None, None, None, None, None, None]",116.18642579167143
17,Battle! Cynthia,G major,0.8072520317813614,4/4,"['Piano', 'Piano', 'Piano', 'Horn', 'Piano', 'Piano', 'Piano', 'Piano', 'Piano', None, 'Piano', 'Piano']",82.49348958333343
18,Battle! Elite Four,B major,0.5086938514026424,4/4,"[None, 'Horn', None, 'Horn', 'Glockenspiel', 'Piccolo', 'Glockenspiel', None, None]",93.47354399999878
19,Battle! Fused Kyurem [B],B- major,0.2987425629921168,4/4,"[None, 'Guitar', 'Brass', None, 'Electric Bass', None, 'Violin', 'Violin', None, None]",121.20072481249925
20,Battle! Fused Kyurem [W],B- major,0.2987425629921168,4/4,"[None, 'Guitar', 'Brass', None, 'Electric Bass', None, 'Violin', 'Violin', None, None]",121.20072481249925
21,Battle! Ghetsis,e minor,0.17640513083421439,4/4,"[None, 'Bassoon', None, 'Trombone', 'Bassoon', 'Piccolo', None, None, None, None, 'Steel Drum']",137.67742506249604
22,Battle! Golem Trio,f# minor,0.4978814134122761,4/4,"['StringInstrument', 'Trombone', 'StringInstrument', 'Baritone Saxophone', 'Baritone Saxophone', None, None, None, None, None]",58.174184250002334
23,Battle! Gym Leader [BW2],C major,0.5754244448942385,4/4,"['Trumpet', 'Trumpet', 'Harmonica', 'Piano', 'Trumpet', 'Flute', 'StringInstrument', 'Harp', 'Piano', None, 'Piano']",89.99287372916703
24,Battle! Gym Leader,C major,0.6530713169813156,4/4,"['Trumpet', 'Trumpet', 'Harmonica', 'Piano', 'Flute', 'Flute', 'StringInstrument', 'Harp', 'Piano', None, 'Piano']",89.9928737291668
25,Battle! Heatran,f minor,0.7141088289684132,4/4,"['Soprano Saxophone', 'Trumpet', 'Trombone', 'StringInstrument', 'StringInstrument', 'Trombone', None, 'Timpani']",55.48379372916725
26,Battle! Hoenn Champion,f minor,0.6483078918286151,4/4,"['Piano', 'Violoncello', 'Harmonica', 'Piano', 'Piano', 'Brass', 'Harp', None, 'Violoncello', None, None]",65.65451177083192
27,Battle! Hoenn Leader,F major,0.8018587644759546,4/4,"['Electric Guitar', 'Acoustic Bass', 'Harmonica', 'Electric Guitar', 'Vibraphone', 'Piano', 'Violin', 'StringInstrument', None, 'Violin', 'Violin']",76.69450070833246
28,Battle! Johto Champion,g# minor,0.5639761804410552,4/4,"[None, None, None, None, 'Violin', None, None, None, None, None]",67.81930252083356
29,Battle! Johto Gym Leader,A- major,0.7895185065881122,4/4,"[None, None, None, None, None, 'Church Bells', None, None, None, None, None]",73.54174756250052
30,Battle! Kanto Champion,a minor,0.7416666827613448,4/4,"['Soprano Saxophone', 'Saxophone', 'Saxophone', 'Harmonica', None, 'Celesta', 'Guitar', 'Harp', None, None, 'Saxophone']",73.94617656249947
31,Battle! Kanto Gym Leader,b minor,0.7330099338393382,4/4,"['Contrabass', None, 'Harmonica', 'Contrabass', None, 'Celesta', 'Celesta', 'Harp', 'Violin', 'Violin']",58.19973602083415
32,Battle! King N,a minor,0.6098359347374149,4/4,"['Fretless Bass', 'Horn', None, 'Fretless Bass', 'Voice', 'Fretless Bass', 'Glockenspiel', 'Piano', None, None, 'Harp']",104.67747456249924
33,Battle! Kyurem,f minor,0.7398723998221556,4/4,"['Horn', 'Horn', None, 'Horn', 'Horn', 'Horn', 'Brass', 'Piano', None, None, 'Harp']",139.24297139583194
34,Battle! Lake Trio,f minor,0.5057105947337437,4/4,"[None, 'StringInstrument', 'Trumpet', 'Accordion', 'Accordion', 'Piano', 'Piano', None, None, 'Timpani']",109.67081956249783
35,Battle! Legendary Pokemon,A- major,0.6002864454446627,4/4,"['Piano', 'Horn', None, 'Voice', 'Electric Guitar', None, None, None, None, None, None]",96.9988329166662
36,Battle! N [BW2],a minor,0.820990162448568,4/4,"['Horn', 'Horn', None, 'Horn', 'Shehnai', 'Horn', 'Glockenspiel', 'Soprano Saxophone', None, None, 'Timpani']",73.65964856250035
37,Battle! Neo Ghetsis,F# major,0.24900648293308847,4/4,"[None, 'Brass', None, 'Trombone', None, 'Steel Drum', None, None, None, None, None]",85.5916666666673
38,Battle! PWT Champion,c minor,0.7931990229286252,4/4,"['StringInstrument', None, 'Brass', None, None, None, 'Harp', 'StringInstrument', 'Piano', None, None]",99.29774020833506
39,Battle! Rare Pokemon [BW2],F major,0.802123119946335,4/4,"['Horn', 'Horn', None, None, 'Vibraphone', 'Brass', 'Violin', 'Brass', None, None, 'Harp']",64.4143770624998
40,Battle! Rare Pokemon,F major,0.802123119946335,4/4,"['Horn', 'Horn', None, None, 'Vibraphone', 'Brass', 'Violin', 'Brass', None, None, 'Harp']",64.4143770624998
41,Battle! Reshiram,f minor,0.7445458022833286,4/4,"['Horn', 'Horn', None, 'Horn', 'Horn', 'Horn', 'Brass', 'Piano', None, None, 'Harp']",139.2531339999988
42,Battle! Rival Hugh,f# minor,0.8226465451900139,4/4,"[None, None, None, None, 'Harpsichord', 'Harpsichord', None, None]",69.22268718749908
43,Battle! Rival N,a minor,0.88857987088172,4/4,"[None, 'Horn', None, 'Horn', 'Horn', 'Fretless Bass', 'Fretless Bass', None, None, None, 'Timpani']",73.49298206250066
44,Battle! Sinnoh Champion,F# major,0.6532161567878855,4/4,"['Piano', 'Piano', 'Piano', 'Horn', 'Piano', 'Piano', 'Piano', 'Piano', 'Piano', None, 'Piano', 'Piano']",82.49348958333323
45,Battle! Sinnoh Gym Leader,f minor,0.5977462254545948,4/4,"['StringInstrument', 'Piano', None, 'StringInstrument', 'Piano', 'Piano', 'Piano', 'StringInstrument', 'Pan Flute', None, None]",89.99321852083355
46,Battle! Subway Trainer,A- major,0.8119960133011148,4/4,"['Harmonica', 'Harp', 'StringInstrument', 'Contrabass', 'StringInstrument', 'Violoncello', 'StringInstrument', 'Trumpet', 'StringInstrument', None, 'Trumpet']",109.08377772916647
47,Battle! Team Neo Plasma,F major,0.7127573054705179,4/4,"['Acoustic Bass', 'Horn', None, 'StringInstrument', 'Pan Flute', 'Brass', 'Sitar', 'Pan Flute', None, None, 'Acoustic Bass']",100.98718897916854
48,Battle! Team Plasma Grunt,c minor,0.5810934311824668,4/4,"['Acoustic Bass', 'Horn', 'Timpani', 'StringInstrument', 'Pan Flute', 'Brass', 'Brass', 'Pan Flute', 'Piano', None, None]",95.99314724999888
49,Battle! Trainer [BW2],c# minor,0.28921734830029894,4/4,"['Harmonica', 'Harp', 'Piano', 'StringInstrument', 'Contrabass', 'StringInstrument', 'StringInstrument', 'StringInstrument', None, None, 'Piano']",109.07667545833375
50,Battle! Trainer,A- major,0.4487230612198362,4/4,"['Harmonica', 'Harp', 'Piano', 'StringInstrument', 'Contrabass', 'StringInstrument', 'StringInstrument', 'Trumpet', None, None, 'Piano']",109.07667545833367
51,Battle! Wild Pokemon [BW2],e- minor,0.8019314517967088,4/4,"['Acoustic Bass', None, None, None, 'Glockenspiel', 'Horn', 'Harp', 'Brass', None, None, 'Acoustic Bass']",64.41437706249977
52,Battle! Wild Pokemon,F major,0.7820713662833295,4/4,"['Acoustic Bass', None, None, 'Electric Bass', 'Glockenspiel', 'Horn', 'Harp', 'Brass', None, None, 'Acoustic Bass']",64.4143770624998
53,Battle! World Champion,c minor,0.7051249566771787,4/4,"[None, None, 'Electric Bass', 'Violin', None, None, 'Violoncello', None, None, None, None]",102.6000485624967
